Occupation,Level1Id,DescriptionLevel1
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"RETIRED BLACKSMITH",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"REGULATOR WITH STEAM ROLLER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
ELECTRICIAN,17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"DRESSMAKERS ASSICENT",15,"PERSONS WORKING AND DEALING IN DRESS"
"DRESSMAKERS ASSICENT",15,"PERSONS WORKING AND DEALING IN DRESS"
"DRESSMAKERS ASSISANT",15,"PERSONS WORKING AND DEALING IN DRESS"
"RAILWAY EMPLOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PAPER HANGER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"ROAD SWEEPER",8,"PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE"
"TELEPHONE OPERATOR",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
BRICKLAYER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"DOMESTIC HOUSEMAID",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"ABLE SEAMAN",11,"PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY"
"MANAGERESS TOBACCONISTS",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"MASON MONUMENTAL",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"WIREMAN TELEPHONE COY",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"COACH BODY MAKER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
WAITRESS,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
BAKER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
HOUSEKEEPER,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"POLICE CONSTABLE MET",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"AT SCHOOL",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CORSETRISE,15,"PERSONS WORKING AND DEALING IN DRESS"
"SHOP ASSISTANT GROCER'S",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"RAILWAY GUARD MET",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"RAILWAY CLERK MET",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"YARD LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"RAILWAY GUARD",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"SAILOR MERCHANT SERVICE",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"AT SCHOOL",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CIVIL SERVICE POSTMAN",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"TAITIE DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"OPERATOR BROSCOPE",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"MESSINGER - CHEMIST",14,"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"
"ERAND BOY- WHOLESALE TOYS",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"COSTUME MAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
"ELECTRICAL LABOURER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CARRIAGE CLEANER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PLUMBER GENERMEN",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"HOME DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"HOUSE MAID DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"ORMATICK SHAW ASSISTANT",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"SHOP ASSISTANT DRAPERY",21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
"ATEND SCHOOL",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"ATEND SCHOOL",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"AT HOME",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"GROCERS ERRAND BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"COOK DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
NEEDLEWORK,15,"PERSONS WORKING AND DEALING IN DRESS"
"POLICEMAN MET",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"OUT OF WORK MILKMAN",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"LAUNDRY WORK",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"CARMAN GASWORKS",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"BISCUITS WORKS",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"MOTOR WORKS",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"AT HOME AND SCHOOL",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"AT HOME AND SCHOOL",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"UNDERTAKERS COACHMAN",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RETIRED RAILWAY CLERK",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PRIVATE SECRETARY TO GENERAL MANAGER IN PUBLISHING HOUSE",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"SHORTHAND-TYPIST IN COAL MERCHANT OFFICE",23,"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"
"LABOURER-NOW OLD AGE PENSIONER",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CAB DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"CAB DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PLASTERER BUILDERS",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"NUMBERER PRINTERS",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"FORMERLY GAMEKEEPER ON PRIVATE ESTATE OUT OF WORK NOW",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PRIVATE MEANS",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
POINTSMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"HOUSE WIFE",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CORSET MAKERS ASSIST",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"UNEMPLOYED MILKMAN",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"NEWS VENDORS ASSISTANT",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"NEWS VENDORS ASSISTANT",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"NEWS VENDORS ASSISTANT",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
CARMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"DRESS MAKERS ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
"BUS CONDUCTOR",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"CARMAN DRIVING AND SERVING",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RAILWAY PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
FILER,17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"MILK HAND",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
APPRENTICE,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"LIFE ASSURANCE SUPERINTENDENT",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HAIRDRESSER ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
"NIGHT WATCHMAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"LIBRARY ASSISTANT",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"CARPET PLANNING",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"RETIRED BUTCHER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"NO OCCUPATION",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"GAS LIGHT COKE COMPANY",23,"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"PORTER RAILWAY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"COMMERCIAL TRAVELER",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"RETIRED RAILWAY GUARD",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"CLERK TURNERY DEPT A AND N STORES",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"RAILWAY CLERK GWR",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"RIALWAY PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PARGNET FLOOR LAYER",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"OSTRICH FEATHER WORKER",20,"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"
CARPENTER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
PENCIONER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"TOBBACCA WAREHOUSEMAN",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"DRESS MAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
"PORTER GREAT WESTERN RAILWAY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"TAILORS CUTTER",15,"PERSONS WORKING AND DEALING IN DRESS"
"INDEPENDENT MEANS",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PAINTER - BUILDER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RAILWAY SERVANT",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
BUTCHER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"DRAPERS ASSISTANT",21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
"GROCERS ASSISTANT",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"DRAPER'S ASSISTANT",21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
"POLICE INSPECTOR",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"WAREHOUSE CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"OFFICE BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"MOTOR MECHANIC",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"FITTER AND CASEMENT MAKER",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"DESIGNER AND ESTIMATOR",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"TAXI CAB DRIVER-",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
NONE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"MOTOR DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
WAITRESS,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"HAIRDRESSERS ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
"NO OCCUPATION",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"LIBRARY ASSISTANT",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
COMPOSITOR,18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"HOTEL CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"TAILOR GENTLEMAN'S",15,"PERSONS WORKING AND DEALING IN DRESS"
ENGINEER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
TAILOR,15,"PERSONS WORKING AND DEALING IN DRESS"
"SCHOOL BOY",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"SCHOOL BOY",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"COOK DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
CLERK-COMMERCIAL,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"HUSBAND ALLOWANCE",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"COACH - PAINTER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"BOOKSELLER'S ASSISTANT",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"OVERSEAS CENTRAL TELEGRAPH",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"TELEPHONE OPERATOR G P O",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"TELEPHONE OPERATOR G P O",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
CARPENTER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
CARPENTER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
JOINER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"BOOKSTALL CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"HOUSE DECORATOR",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"AT HOME",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HOUSE DECORATOR",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"MARBLE MERCHANTS CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"HOUSE DECORATOR",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"FLORAL PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
COACHMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"RETURN CLERK DRAPERY",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"ASSISTANT DRAPERY",21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
"OFFICE BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PRIVATE MEANS",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"GENERAL DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"PRIVATE MEANS",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PRIVATE MEANS",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PRIVATE MEANS",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RESTAURANT WAITRESS",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
ASSISTANT,17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"POLICE INSPECTOR",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"WAGON MAKER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"CAR EXAMINER C L RY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
BAKER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
BRICKLAYER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SEMPSTRESS,15,"PERSONS WORKING AND DEALING IN DRESS"
SEMPSTRESS,15,"PERSONS WORKING AND DEALING IN DRESS"
CARPENTER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
HOUSEWIFE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CARPENTER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"POLICE MESSENGER",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
LAUNDRESS,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"CARMAN LAUNDRY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"IRONER LAUNDRY",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"PLASTERER JURNEYMAN",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
HOUSE-WIFE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CHINA AND GLASS SHOP ASSISTANT",13,"PERSONS WORKING AND DEALING IN BRICK, CEMENT, POTTERY, AND GLASS"
"PIANO DEPT SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"HOUSE FURNISHERS CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"BOOT REPAIRER",15,"PERSONS WORKING AND DEALING IN DRESS"
CHEFFEUR,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"GENERAL LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"HYDRAULIC LABOURER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
HOME,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"LIFE AND FIRE ASSURANCE AGENT",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"RETIRED BUTLER",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"AT HOME",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RAILY CLERK",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
MANTLEMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
CARPENTER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
JOINER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"SHORTHAND TYPIST",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"OMNIBUS CONDUCTOR",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
NONE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
PORTER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
NONE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
NONE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RAILWAY SIGNALMAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"GROCERS JUNR",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"BUTCHER SATURDAY BOY",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
